1752248630.8302917, 60.00, 1551, 42.8, 0
1752248631.3422232, 60.00, 1408, 46.3, 0
1752248631.8518336, 60.00, 1498, 49.4, 0
1752248632.3576171, 60.00, 1433, 39.5, 0
1752248632.8700655, 60.00, 1408, 40.0, 0
1752248633.3825982, 60.00, 1425, 41.9, 0
1752248633.8949993, 60.00, 1558, 42.4, 0
1752248634.4077723, 60.00, 1527, 40.2, 0
1752248634.920553, 60.00, 1667, 28.6, 0
1752248635.4317005, 60.00, 1741, 28.0, 0
1752248635.9440327, 60.00, 1782, 23.9, 0
1752248636.4556398, 60.00, 1423, 44.3, 0
1752248636.9681497, 60.00, 1339, 51.1, 0
1752248637.5121853, 60.00, 1742, 30.0, 0
1752248638.0245996, 60.00, 2035, 19.6, 0
1752248638.5344005, 60.00, 1542, 48.4, 0
1752248639.0463386, 60.00, 1311, 46.6, 0
1752248639.5579786, 60.00, 1410, 45.6, 0
1752248640.0706072, 60.00, 1306, 54.5, 0
1752248640.5835032, 60.00, 1632, 32.5, 0
1752248641.0954344, 60.00, 1375, 42.7, 0
1752248641.600032, 60.00, 1450, 44.8, 0
1752248642.1052976, 60.00, 1581, 30.7, 0
1752248642.6103442, 60.00, 1758, 25.7, 0
1752248643.116933, 60.00, 1561, 37.3, 0
1752248643.6212645, 60.00, 1861, 23.3, 0
1752248644.1263835, 60.00, 1512, 39.0, 0
1752248644.6381679, 60.00, 1811, 24.6, 0
1752248645.1510434, 60.00, 1439, 44.2, 0
1752248645.6644316, 60.00, 1693, 30.1, 0
1752248646.1774454, 60.00, 1339, 48.2, 0
1752248646.690512, 60.00, 1798, 25.5, 0
1752248647.2027025, 60.00, 1419, 48.3, 0
1752248647.714022, 60.00, 1665, 32.5, 0
1752248648.2267425, 60.00, 1559, 34.7, 0
1752248648.7403688, 60.00, 1452, 48.6, 0
1752248649.252796, 60.00, 1581, 36.7, 0
1752248649.7678735, 60.00, 1439, 39.2, 0
1752248650.2809355, 60.00, 1379, 50.7, 0
1752248650.786301, 60.00, 1350, 52.5, 0
1752248651.2995374, 60.00, 1362, 45.4, 0
1752248651.8137834, 60.00, 1368, 50.8, 0
1752248652.3260336, 60.00, 1368, 49.1, 0
1752248652.8330212, 60.00, 1372, 48.5, 0
1752248653.3452926, 60.00, 1472, 47.5, 0
1752248653.8571932, 60.00, 1489, 49.1, 0
1752248654.3699143, 60.00, 1843, 25.8, 0
1752248654.8824732, 60.00, 1418, 46.3, 0
1752248655.3952744, 60.00, 1425, 53.9, 0
1752248655.9079075, 60.00, 1412, 44.1, 0
1752248656.4684477, 60.00, 2861, 4.6, 1
1752248656.9806364, 60.00, 1383, 54.9, 0
1752248657.4933312, 60.00, 1497, 43.8, 0
1752248658.0045543, 60.00, 1565, 35.1, 0
1752248658.5097287, 60.00, 1691, 30.1, 0
1752248659.0215278, 60.00, 1512, 40.7, 0
1752248659.5333147, 60.00, 1477, 42.4, 0
1752248660.0461261, 60.00, 1513, 40.3, 0
1752248660.5569847, 60.00, 1661, 29.5, 0
1752248661.0690641, 60.00, 1378, 54.4, 0
1752248661.5836606, 60.00, 1393, 52.6, 0
